district,population,households,development_index,capacity_index
Ahmedabad,8500000,1850000,0.82,0.84
Amreli,1600000,350000,0.58,0.62
Anand,2500000,540000,0.75,0.77
Aravalli,1300000,285000,0.51,0.55
Banaskantha,3500000,760000,0.49,0.52
Bharuch,1900000,415000,0.69,0.72
Bhavnagar,3000000,650000,0.62,0.65
Botad,700000,155000,0.54,0.58
Chhota Udepur,1200000,265000,0.42,0.46
Dahod,2500000,550000,0.43,0.45
Dang,250000,55000,0.39,0.43
Devbhumi Dwarka,800000,175000,0.52,0.56
Gandhinagar,1700000,370000,0.84,0.82
Gir Somnath,1300000,285000,0.53,0.57
Jamnagar,2400000,520000,0.63,0.67
Junagadh,2800000,610000,0.57,0.61
Kheda,2300000,500000,0.65,0.68
Kutch,2300000,510000,0.55,0.59
Mahisagar,1100000,240000,0.47,0.51
Mehsana,2300000,500000,0.72,0.75
Morbi,1300000,285000,0.61,0.64
Narmada,700000,155000,0.48,0.52
Navsari,1500000,330000,0.73,0.76
Panchmahal,2500000,545000,0.50,0.54
Patan,1500000,325000,0.53,0.57
Porbandar,700000,155000,0.60,0.63
Rajkot,3900000,850000,0.77,0.78
Sabarkantha,2700000,590000,0.55,0.59
Surat,8500000,1850000,0.86,0.83
Surendranagar,1900000,415000,0.54,0.58
Tapi,800000,175000,0.44,0.48
Vadodara,4200000,915000,0.80,0.81
Valsad,1800000,390000,0.71,0.74
